"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","CCAA","Província_naixement","Nombre"
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Andalusia","Granada",241
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Andalusia","Granada",39
2021,8,"Nou Barris",54,"Torre Baró","Dones","Andalusia","Granada",31
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Andalusia","Granada",89
2021,8,"Nou Barris",56,"Vallbona","Dones","Andalusia","Granada",11
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Andalusia","Granada",66
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Andalusia","Granada",6
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Andalusia","Granada",82
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Andalusia","Granada",320
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Andalusia","Granada",147
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Andalusia","Granada",59
2021,9,"Sant Andreu",63,"Navas","Dones","Andalusia","Granada",76
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Andalusia","Granada",148
2021,10,"Sant Martí",65,"el Clot","Dones","Andalusia","Granada",108
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Andalusia","Granada",72
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Andalusia","Granada",20
2021,10,"Sant Martí",68,"el Poblenou","Dones","Andalusia","Granada",103
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Andalusia","Granada",50
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Andalusia","Granada",173
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Andalusia","Granada",109
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Andalusia","Granada",223
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Andalusia","Granada",258
2021,1,"Ciutat Vella",1,"el Raval","Dones","Andalusia","Huelva",39
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Andalusia","Huelva",6
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Andalusia","Huelva",10
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Andalusia","Huelva",21
2021,2,"Eixample",5,"el Fort Pienc","Dones","Andalusia","Huelva",19
2021,2,"Eixample",6,"la Sagrada Família","Dones","Andalusia","Huelva",43
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Andalusia","Huelva",22
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Andalusia","Huelva",24
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Andalusia","Huelva",42
